"title","state","category","description"
"A Ghost I Can't Escape","Ohio","Ghost Hunting","Early this year, three friends and I decided to go on a late night adventure and explore a nearby abandoned house. The previous owner of the house was purportedly an abuser, and lived there with his wife and some children.

 The house was brimming with stuff- the floors were covered in left-behind items. You could barely walk through all of the trash. Rosey's earrings fell out even though they had been tightly secured. We all separated and went off to explore the house.

 I kept getting lost. It seemed so big, and the rooms seemed like they kept switching places. I found my way upstairs, with my friend Rem following close behind. It was an attic. The floor was coated in old photographs. Hundred of old photographs, still intact. I collect old portraits, so I rummaged through them and looked around- and one snapped my attention to it- it was a photo of a child- very old- black and white- it locked eyes with me- an intense presence filled the room- my friend and I both had a vision and felt the energy of a toddler running around the room. 

We fled downstairs. Upon reaching the main floor, right at the bottom of the steps, tears started pouring down my face. I didn't know why- I wasn't emotional and I was barely scared. I moved away to find my friends again, and the tears actually evaporated from my face. I moved back into the spot I stood before, and tears poured from my eyes. Back and forth, back and forth... Tried and true, every time I would move back, I would inexplicably sob, and every time I moved away my tears vanished. The face of a woman flashed into my head. Dark hair, mournful. Her energy was tied to where I stood. Something horrible happened there. 

I joined my three other friends, and set up a piece of paper with 'yes' and 'no' written on it, with the pencil set right in the center so we could talk to spirits and they could answer us by turning the pencil to whichever word they preferred. Lucas found an old lamp, filled the bowl with paper, and set it on fire. We tried engaging whatever spirits were in the house, but the pencil on the paper never moved.

 Rosey and I saw a massive yellow orb by the basement door, and the most grimy presence choked the air. Out of nowhere the flame in the lamp went out. Mind you, there was no wind- the house was sealed. My legs went absolutely weak for no reason. Rem grabbed me and started yelling because he heard voices in his ear. The sounds of footsteps echoed behind us. Lucas grabbed the paper in the bowl- it was ice cold. Seconds before, it had been burning violently. We grabbed our stuff and ran for our lives. 

I froze by the basement door. I couldn't move. I had another vision, and felt an awful, disgusting energy from the basement. Vision of the woman from before, in a chair, tied, her husband beating her. She was screaming. She told me to get out! Get out! I unfroze and ran. She appeared behind me as I ran, looking almost demonic, hair a mess and teeth bared. She was running after me. I jumped into the car and slammed the door shut. She slammed her hands on the door. She wanted in. She wanted in. We drove off into the night. She appeared in the car. She's been in the car ever since. It's my car. I still have items in there from the house. 

I went back a month or two ago with Lucas, and all of the spiritual energy was gone from the house. It was entirely cleansed, or at least seemed that way. It had been cleaned up a bit by someone to prepare it for being sold. The house was so small. Smaller than before. Lucas thought so too. It had shrunk, and the spirits had left, and the rooms were exact and didn't trick you anymore. I took some more items home with me, but kept them in my car. The woman still appears sometimes. I have visions of her, I feel her energy. I cannot escape her. Rosey now believes in ghosts. She didn't before. Lucas loves the house and wants to live there. Rem never wants to go back. He knows it's evil. I am obsessed with the house. I think about it every day. The woman from the house haunts me, and the house itself haunts me. I'm tired."
"The Voices That Shake The Bed","Wisconsin","Haunted Places","So this happened when I was about 15 years old, I believe.

For years, actually as long as I can remember, I could hear voices when I ""listened."" If you don't know what I mean by that, you probably can't understand. But I call it channel 1 and channel 2. 

Channel 1 is the normal way you hear things. Channel 2 is the other way. Sorry, if you don't understand what I mean by that. I'm not expert enough in this stuff to explain, or even to defend it as a real thing. I have no idea how it works, but in channel 2 you can hear all kinds of things; voices, music, moaning, laughing...

It all sort of depends on what is in the air around you at the time. Some locations are thick with it, some aren't, but it's all there in the wind. That's when I heard it best, anyway. 

At night though, when the wind is blowing, mostly it's just voices. Not a single voice, but a distant babble hard to ignore - because it gets louder if you listen close and it's hard not to listen in the dark. Worse, if you listen too close in the wrong place on the wrong night, other things started happening. Mostly at night, but not always, as in this story.

This happened in broad daylight. I was laying in bed at my brother's place. It was a small apartment on Mather street he shared with my cousin near the Fox River in Green Bay, WI. I crashed there sometimes. Well, this particular day, the voices were very loud and I was very tired because I had been up all night, but I couldn't fall asleep because the voices kept getting louder beneath me until it felt as if the bed was shaking under me. 

Now, that might seem terrifying at first glance, but it had happened before, and I had then, and still have, a simple rule about weird stuff: If someone else didn't see it, feel it, or hear it, then it isn't real. Zero exceptions. 

So, the wind is blowing outside, and I'm trying to sleep, and for almost an hour I tried to ignore the ""hallucination"" keeping me awake until, tired and frustrated, I got out of bed and went into the living room where my cousin Todd was talking to a couple girls who lived nearby and were over for friendly flirting or whatever.

 I asked if Todd could come talk to me for a minute in the bedroom. He agreed and followed me into the room where I shut the door behind him.

""What's up?"" Todd asked, (I'm paraphrasing. I honestly don't remember exactly what he said.) And I asked him to sit down on the bed a second.

And that's about as long as he did sit down before he jumped up like something but him and started cursing and staring at the bed.

Cutting into the story a second; another of my little rules regarding weird stuff is that I never tell someone with me what it is I see or hear. I ask what the person with me sees or hears, so I know they actually do see or hear whatever it is I think I see or hear. Lol. 

Sorry, if that's seems sort of burdensome, but it's the only way I can really know for sure they are being honest with me. 

Trust issues? Possibly. But that doesn't mean they aren't out to get me.:) 

""The bed is $&@! Shaking!"" Todd said.

At which point, feeling entirely vindicated, I pumped my fist and said, ""I f&&$ing knew it! I knew it!""

Then we swore a lot more (we were both teenagers and thought that made us adults I suppose) and the bed eventually stopped shaking, and I felt very pleased with myself, and Todd decided the house was haunted, or more likely I was haunted.

But that didn't ruin my mood because this had been going on for years, and hurray! I wasn't crazy.

And then it started getting dark.

 I realized all those nights I heard voices and the bed was shaking might not have been hallucinations. And I started wishing I hadn't had Todd come sit on the bed."
"Weird Forest Encounter","Iowa","Misc","I have a lot of encounters from ghosts, but this one is a little different. Different because I'm not sure what exactly was encountered, but I'm hoping maybe someone can read this and shed a little light on this experience. 

So, this was when I was probably about 17. I was out hanging out with my boyfriend at the time and one of his friends. Now, one thing to put out there, is that his friend was a pretty ""outdoorsy"" kind of guy. He wasn't scared of much, he grew up hunting, and was always out exploring the woods at all hours. Living in a small town with a lot of parks and surrounded by wooded areas, there wasn't a lot to do so exploring the woods was a typical thing for really any of us to do. I never used to be afraid of the woods, until after this experience.

This particular night, his friend decided that he wanted to go spotlight hunting (yes illegal, but we were kids and I had no idea). We drove out to an area on a gravel road in my boyfriend's car. There used to be a bridge that went across the river but it was burnt and eventually torn down so it was closed off and the end of the gravel had become overgrown with grass, weeds, and such. There's a tall bridge off in the distance, actually it's a bridge our little town is very well known for as it has a lot of history. We were out there, miles away from town and from any houses. We found a place to pull over near the end of the gravel and my boyfriend and his friend grabbed the rifle out of the trunk and their flashlight. Me being an animal lover, I didn't feel like taking part so I chose to stay in the car. Before my boyfriend took off into the field, he told me to give them 15 minutes and if they didn't come back I could take his car and leave them. With that, they disappeared into the dark.

So there I was, sitting in his car. There was a metal railing in front of the car that we had pulled up to, which the guys had to climb over. On both sides of the car there was tall grass, taller than the car. It was a bit spooky but I tried to keep my mind busy. I turned the radio on and waited. 15 minutes went by and they still weren't back. I hadn't heard any gunshots so I figured maybe they just weren't having any luck. Then, I get this weird feeling. The feeling of being watched. Enough to make the hairs on your neck stand up. I tried to play it off as my nerves. I look out my window to the right and I see the tall grass moving. I told myself it was the wind. I look out the driver side window, the grass over there stood still. I've seen enough horror movies to know that I didn't want to look out the right window again. Ignorance is bliss right? I look down at my phone and do everything I can to not look up, scared I might see something I didn't want to see. Then... Something hit the back of the car. Pretty hard. I look back, but with the tint and the darkness, it was impossible to see anything. So, I check the locks to make sure I was safe and turned up the radio. The knocking on the trunk and back window continued on and off. At this point it had been an hour since they left and I was hoping it was just them trying to play a joke on me. I knew I couldn't leave them out there, and there was no way I was getting out of the car, so there I sat, trying to ignore whatever was out there. The knocks soon turned to shaking the car. I shrank down in my seat and just kept my eyes on my phone. Waiting for the guys to get back. After about 15 minutes the banging stopped and I was left in silence for about another 15 minutes when I hear the guys yelling. I sat up, flipped on the headlights, to see my boyfriend (who had never touched a gun in his life) running towards the car, cradling the rifle in his arms, and vaulting over the metal railing. His friend came running soon after. I unlocked the doors, my boyfriend jumped in the driver's seat, throwing the gun in the backseat where his friend was scrambling to get in, yelling ""go! Go! Go!"" He quickly backed out and off we sped down the gravel road. My boyfriend's face was filled with terror and he starts yelling at his friend, ""what the hell was that man?!"" His friend is looking out the back windows terrified and exclaims, ""it's following us!"" I was both scared and confused. I kept asking what they were talking about, and what happened but they were too busy trying to calm down. We sped as fast as his car could go back towards town. Once it was clear we were safe, I asked again what happened, only to be told they didn't want to talk about it. Whatever it was, it had scared them more than I've ever seen someone scared before.

We eventually get back into town, and pull up to his friend's house. We all just sat there in silence for a minute. Both guy's looked almost paralyzed trying to figure out what they had seen. His friend finally spoke, admitting that after whatever they encountered, he was scared to even be home alone. Reluctantly he got out of the car, grabbed his rifle, and headed inside. I questioned my boyfriend for the next several days but he always just got a weird look on his face and would shake his head, like he didn't believe it himself. It was apparent I would never know, and I guess a part of me was okay with that, so I stopped asking and life went on.

Ok, so now, 9 years later. And I finally got the answer. Like most high school relationships, my boyfriend from back then have been broken up for a long time, and I'm actually married now with two kids, and one on the way. Well, it just so happens, that my husband had this guy start working with him at work. It took a couple weeks and ""on the job stories"" from my husband to realize that this guy was the friend of my boyfriend all those years ago. I decided to open up to my husband and tell him about this horrifying experience we all had back then. Well, my husband is a big fan of a podcast called ""Dogman encounters"" he told me that a lot of the guests on the show had similar experiences that I did while I was in that car. That they would hear banging on the car and it would shake. Almost like it was trying to lure them out. I suggested that maybe he text the guy that he worked with (the friend of my ex) and ask him about that night. He did and the response was not what I was expecting.

He got a reply, the guy explaining how that night haunts him. He told about how they were out in the field, not having much luck. They heard a whole bunch of birds in the grass suddenly take flight making a ruckus and gave the guys a bit of a jump. They went over to the area with the flashlight on and that's when they saw 'him'. He said he was unusually tall and very skinny and lanky, as well as very pale. It was odd enough to see anyone out there at that time of night, let alone being out in a large field lined with forest. He just didn't belong. He then went on to say that the weirdest thing about this guy, was his voice. It was very abnormal, and unexpectedly high pitched, like a child. What did the guy say? Well this is the part that still sends shivers down my spine. Apparently he said,""you might want to check on that girl you left back in that car.""

This friend described how they ran back through the field, across a ditch and back to the car. He said they were running as fast as they could and this 'guy' was running parallel to them, but through the wooded area, a much harder route, and yet he was keeping perfect pace with them. The trees and terrain didn't slow him at all as they all sprinted back to me in the car. That's when we had started speeding back home. He said when he looked back, he saw the guy step over the metal barrier next to the road. They had to vault or climb over it, but this guy stepped over it like it was nothing. 

So here I am, my story has finally concluded after 9 years. Although I've tried researching similar encounters, I can't find anything. The only thing I know for sure, is whatever that was, it wasn't human. I don't know if it was a ghost, a mystery of nature or what. So I guess what I'm here for is to find out if anyone had heard, or had any personal experiences with something like this. I'm terrified to go back to that place, even in the daylight. Any ideas would be greatly appreciated. I would love to solve this mystery. Thanks for reading!"
"One Last Visit","Illinois","Family / Friends Visits","We were moving from Chicago to San Francisco, and I left first, while my husband stayed with our Golden Retriever in the condo. It was in June 1999, and I was in a hotel in Reno when he called to tell me his father died.

A couple days after his father passed away, he was awakened in the night by what was clearly an intruder. Whoever broke in was right there in the room, and so my husband turned on the light. Our dog was just sitting there, alert, looking at something that nobody could see, turning his head in the way dogs do when they appear confused.

My husband was bothered because our ""watch dog"" wasn't going after the person who broke into our home. So, he got out of bed to confront the intruder. It's a mistake, we both know. But we often act on instinct in times like these.

There was a long corridor in our condo which led to the dining room then the kitchen toward a back door, out to a deck. So my husband followed out of the bedroom through the living room, only feet behind the footsteps through the corridor towards the kitchen. The footsteps faded as the visitor passed through the door onto the deck. There was no sound other than the footsteps.

The gait was uneven, with one foot landing harder than the other. His father had an injury which caused him to limp the same way.

My husband called his mother and said he had something he wanted to tell her. She said she didn't want to talk about it, knowing it was about his father. But he told her anyway. He described what happened that night to her. Her sister had written her a letter where she described a similar experience, having an intruder visit her in the night with an unmistakable gait that matched her husband's."
"Garage Door And Smoke Alarms","California","Family / Friends Visits","My mother died on April 28, 2012.

About a week after her death, I believe it was on May 7, we heard a noise and I looked out the window. It was dark outside, and I saw light coming out from the garage downstairs. So, I knew the garage door was opening. My husband and I went downstairs and observed that the garage door was opening and closing on its own. It would sometimes open or close only halfway. Very odd. I more or less dismissed this as some electrical malfunction. My husband felt like it was my mother sending a message. It never happened again.

My sister told me she astroplaned the night our mother died. I didn't take it seriously, and in fact forgot all about it. My husband told me I mentioned it to him, so definitely she told me this at some point. It's a different subject, but all she says she remembers is falling out of the ceiling into her bed sometime in the morning.

Fast forward to October 2019.

On October 18, my sister called and we talked about our mother. The next day, around the same time, about 7pm, both smoke alarms went off simultaneously, and there was no smoke. I pushed the button underneath the one in the foyer several times to quieten it, but it had no effect. Both smoke alarms stopped about a minute after they started. Very soon afterwards, my husband said it was my mother, and that it was because we were talking about her the day before. I recalled the garage door situation, and felt it was plausible.

My mother's birthday is October 22.

My sister lives in rural Indiana. Yesterday, October 24, she called. We talked about my husband's illness. Then she told me her best friend committed suicide. To change the subject, I told her about the smoke alarms.

A few seconds went by and my sister told me she had goosebumps from what I just told her. She said that she was cooking a pizza on our mother's birthday. There was no smoke in the house, and two of her smoke alarms went off. In the same fashion, they both stopped at the same time.

I believe my mother is trying to communicate."
"Shadow Figure Or Guardian Angel?","Kentucky","Apparitions / Voices / Touches","I've searched this many times, with no luck finding anything on it. I'm not sure where else to post and ask questions. Here we go:

 When I was young, maybe 5-6, my family lived in a three-bedroom house. We had a few guests over one night, (my sister, her boyfriend, my sister's friend and my sister's friend's boyfriend) and the usual people who lived there were my mom, dad, and myself. My parents had a king sized bed, so my sister and all of her friends got to sleep in that bed all together. My parents and I squeezed into the twin size hospital bed we had for my grandpa who would soon move in with us. I woke up, maybe 2-3 in the morning, to go get more milk. I had the cutest cup. It was an elephant. His head came off and you poured the drink in, and his trunk was a straw! (Completely useless information that cup was just so cute.) 

 My bedroom was right across the hall from where I was sleeping with my parents, but at that time I did not sleep in my own bed, and I'm glad I didn't. As I walked out of the bedroom to get some more milk, I looked into my room. I saw a large figure, with huge glowing blue eyes. I couldn't really see a body, or even the shape of a head. I did see two huge eyes. Glowing with no light to illuminate them. I never felt scared of it. I stared at it, as it stared back at me. Now I'm not sure if it seemed so large because I was so little, but from what I can remember it looked to be as tall as my door, a standard door. The eyes of this were probably the size of a baseball each. Glowing white with blue as the color. Almost like someone was holding a flashlight behind them. Like I said I never felt scared, I thought it was probably a human, because at 5 you don't realize eyes that big are extremely abnormal. I continued on my mission to get more milk, and I guess things slowly started to process as I did, because when I was walking back to the room I shared with my parents, I was afraid to look into my bedroom.

 I woke my mom up, and told her someone was in my room. She got up out of bed and looked. We found nothing. I'm 21 now and I still wonder what I saw that night. I don't know how to explain it to people, and half of them tell me it was all just a dream. I'm sure it wasn't, because when I woke up for good later that morning, the milk I spilt was still left on the kitchen floor, and my cup was full. 

I've had small paranormal things happen as I've grown up. We moved to a new house and you'd see things out of the corner of your eyes, or hear people talking, the common stuff I guess. I've never seen those glowing blue eyes again, and I'm not sure I want to. I now live elsewhere with my fiance and I still feel things have followed me into my adult life. I feel uncomfortable alone in my house now and still see things. I'm not sure if something is attached to me, or if it's just the places I've lived. The blue eyes have never returned though. 

Anyone have an idea what I saw? I told myself it was my guardian angel for the longest time, but now I'm ready to get to the bottom of this."
"Pushed","Iowa","Haunted Places","It was a day like normal. I was heading down to the basement to do some laundry and cleaning next thing I know my cats started to freak out. I didn't know what was going on I have gone in the basement hundreds of times but nothing like this. The next thing I remember is I was at the bottom of the stairs and when I tried to push myself up off the floor I couldn't move my left arm. My friend called 911 and I went to the hospital and found out that I had shattered my elbow in 5 places. That night my boyfriend came over to help me get ready for bed and noticed that I had 5 perfectly noticeable finger prints on my back. We both had no idea where they came from. 

I also remember that when I first moved into the house outside I had seen what looked like a 10 foot tall something in a black cape with a tophat and bright red eyes. I have seen it one time after the incident and it was smiling with a grin that I will never forget.

 As of this time I hate going to the basement to do anything. I'm afraid that whatever is outside is now in my house. Everyday I start to notice that my cats will sit in front of the basement and hiss and growl. It's rather scary, since I live alone.

 I wish I knew what or who this thing was. If it had been alive or if someone is doing this to me. I have absolutely no idea. And recently I have been hearing sounds and voices down there. I have actually thought about putting a tape recorder down there to see if maybe I might be able to figure out what it wants or who brought it in my home."
"Too Much Time Frog-gigging","Oklahoma","Misc","I grew up next to a military base. My father, being a retired military veteran, enjoyed all the benefits of being able to travel on and off post anytime he wished. My father was also an avid outdoorsman, and he would spend all of his free time hunting and fishing on the military reservation. 

Our house was the first house built in our neighborhood. When it was completed, it was the only house visible for miles in every direction. It was so isolated that my father could sit out on the back porch and call quail up to our house using his abilities as a bird mimicker. 

After moving away from this house for a short period of time and returning a few years later, a small neighborhood had emerged around us and the city boundary had moved to include our property. Our house switched to city water and sewage, and the roads in our area became paved. We were still very close (approximately 200-300 yards) to the southern boundary of the military reservation, and during this time, this area of the military reservation permitted free access to anyone wishing to enter through and use the post as a shortcut to get to Interstate 44.

My father and I would often walk into the military reservation at night and go frog hunting around the many ponds scattered around the area. My father would call these ponds ""tanks"" and would spend his days fishing in them out of a small boat that he would carry in his truck. However, this story is about hunting bullfrogs. 

These frogs would grow to an enormous size, and after gathering a sack full of them, we would walk back to the house and give them to my mother who would cut off their legs and fry them for dinner.

The frog-gigging protocol was simple. I would carry the lantern and a large burlap sack and my father would carry a flashlight and a five-foot long stick topped with a small trident of sharp barbs. My father and I would wait for it to get dark and then we would proceed to walk to the nearest pond. The nearest pond was only a twenty-minute walk away (about a mile) and we could hear the croaking of the frogs long before we arrived at the scene. 

My father would walk in front, carefully scanning the ground for poisonous snakes, and I would follow behind. After reaching the pond, my father would slowly walk its perimeter with the flashlight pointed on the ground in front. My job was to hold the lantern high and keep an eye out for the glowing pinpricks of light reflecting off of small eyes that would warn us of an approaching water moccasin and to keep an eye out for rattlesnakes. 

My father would focus his light on the shore until he caught the eyes of a bullfrog. For some reason, the bullfrogs would ""freeze"" whenever they looked into the flashlight. My father would then lunge forward with his stick and gig the frog. He would then swing his stick towards me and I would enclose the frog within the burlap sack and pull it off of the stick. This would continue until we made one complete circuit around the pond. 

We would never make more than one circle around any one pond, and if we did not have what my father would decide as enough frogs, we would walk to the next pond. On most occasions, one circuit around the pond was usually sufficient and we would walk back to the house. We never went frog-gigging more than two times in any one month and I remember this activity with great fondness.

I remember receiving many visits from kinfolk during the summers of my childhood years. All of my relatives lived in Texas and they shared the same love for hunting and fishing as my father. 

On one occasion, my favorite aunt and uncle traveled up to visit us and Dad invited my uncle to go frog-gigging with us. This required a change of protocol. My father would still lead with the stick, but my uncle would follow with the burlap sack and I would bring up the rear holding the lantern.

We made our plans and waited for it to get sufficiently dark. At approximately 9:00 PM we marched out towards the first pond. I anticipated a hearty catch as the pond seemed to be especially noisy this night. After about twenty minutes, we arrived at the pond's edge. Just as we started to edge our away around the pond, we were startled out of our concentration when an extremely bright flash engulfed our area. I remember the flash being so bright that I could clearly make out colors and see with great detail the surrounding area. The flash of light seemed to take no more than three or four seconds before it winked out and left the three of us standing there in stunned silence. For some reason, the area was deathly quiet as even the bullfrogs seemed to have quit their croaking. 

The next few words uttered by my father and uncle still reverberate in my mind so many years later: ""Ray, I reckon' we should just start headin' back to the house.""

""Tom, I reckon you're right.""

I did not say a word and turned to follow my father and uncle back to our home. We arrived without incident and as I was getting ready for bed, I noticed from the clock on the wall that it was after three o'clock in the morning!

""Dad, what time do you have?""

""Go to bed, son. We'll talk about it in the morning.""

We never did talk about it after that and my father preempted my questions the next morning with the stern admonition to never mention the events of the past night to anybody else upon pain of punishment. I feared my father's belt and I would never bring up this incident again until many years later after my father had died. However, the incident seemed to die with my father as my uncle would not admit to any memory of the incident and he would casually dismiss any of my questions with the look of a man trying to placate the imaginings of an eccentric nephew. 

Little did I know at that time that this would not be my family's only brush with the phenomenon of missing time."
"The Crystal Ball","Oregon","Haunted Items","Several years ago I was in a book club when I noticed you could buy other things besides books. I saw a crystal ball and I really wanted one, so I ordered it.

When the crystal ball arrived there was a little booklet with it telling you how to use. It says to get comfortable, you can use it in the day or night. I chose the night time. You are to wash it in rose water or vinegar and sit it on a silk black cloth, which I did. It was also saying not to let it roll around, it came with a little wooden circle to place it on. I also used candles for lighting and incense for relaxation.

At first I saw a mist. I tried to write down all that I was seeing but my paper would disappear when I'd gaze into the ball again?! I saw different colors after a while and then I saw my two kids. They looked far away and were sitting down, my son had his face on the table for some reason. It says not to drop the ball. I was trying to get a better look into the ball next to the candle light when I dropped it! I grabbed it looking for any kinds of cracks, it didn't break. I could see through it perfectly in the candle light. Then slowly an eye started to form. It was now a perfect eye, it moved left and right, then blinked. That eyeball really freaked me out so I put it away and never tried to use it again.

It was a few years later that I ran across it again while moving. It was neatly packed in it's original box with the little booklet telling you how to use it. My book marker was still there where I had left off. I had never read the whole thing as I was in a hurry and just wanted to try and use it. So for the heck of it I continued reading. It said, ""you'll know you're on the right track when you see your crystal ball awaken. You'll see an eye slowly begin to open!"" 👁 That's exactly what happened...

I often wonder if I opened a door to ""the other side"" without realizing what I was doing, because I've had ""happenings"" ever since. We lived behind a graveyard at the time. I've since heard once you open that door you can never close it. Someone here on YGS reminded me of this story so I thought I'd share it."
"Black Panther Spirit In My Home","Missouri","Pets / Animals","I live in the city in an old Queen Anne style house that is quite large, built in 1902. There is a staircase in the back near the kitchen that I believe the servants used that go up to the third floor. The front staircase just goes to the second floor. 

Approximately three years ago, as I was walking down the back staircase, right in front of my eyes was an animal that was huge, totally black, sleek, with a long tail. Just its body alone filled up the doorway that leads into the kitchen. And the doorway was wide. At first, I thought that a stray dog had come into our house and felt a jolt of panic. We had four dogs at the time. I could not see the head of this animal as it's head was already past the door frame. I then realized it was not a dog but a large cat. It walked so gracefully yet there was an extreme power emanating from this animal. I could see the shiny fur and that long tail as it walked past the door into the dining room. As I looked around the corner it was gone. I went into freakout mode running throughout the whole house looking for it. It was gone. I have not seen it since.

 I have been researching all this time trying to figure out why it showed itself to me. My astral sign is Aries. My spirit animals, are hawk, tiger, and jaguar. So I don't know if this was a panther, or jaguar spirit. I did not feel afraid of it when I saw it, just awestruck. It was solid black and had no spots on it that I could see. It was not see through but solid black. If you have any ideas please let me know. I still haven't figured this out. Why did it appear to me walking past the doorway? Thank you"
"Voices At A School Playground","California","Haunted Places","I remember this experience like it was yesterday. About 25 years ago when I was only 7, my family and I visited my cousin and her family in Sacramento on a Saturday. They lived in an apartment right next to a cemetery with an elementary school right behind the apartment complex. This was definitely located in a rough neighborhood. My cousin, who was the same age as me, brought me and my older brother to the school's playground. My brother brought a basketball and played at the courts by himself and I was playing on the structure with my cousin. Randomly, my cousin said she had to run home with no explanation whatsoever. She just took off. For some reason, I didn't question her or decide to follow her. I just sat on the structure next to the slide. Then I heard what sounded like two voices, one on each side of my ears, grunting at me. I felt the presence almost like the voices came from two people standing on either side of me. My heart dropped and I wanted to faint. I screamed for my brother who was playing on the courts and before I can even tell him what was going on, he started sprinting off. I ran after him with my shoes halfway on. 

When we ran back to my cousin's house, my brother said he started running because he heard constant banging against the school bungalow and angry grunting voices chasing after him. We went upstairs to look for my cousin and when we entered her room, she was sitting on her bed, legs crossed, staring off into space. We screamed her name and she just slowly turned her head to look at us. She looked like she was drugged as just mumbled something to us. We couldn't figure out what she was saying so we just left her room. My brother and I then told our parents and aunts and uncles what happened to us, and they just laughed it off. When it was around dinner time, we all gathered at the dinner table and my cousin came out of her room from upstairs acting normal again. Like nothing happened. 

My brother and I remember everything to this day. We've reminded our cousin of that day numerous times and she cannot remember anything. We brought it up to her a couple months ago and, still, she didn't recall ever taking us to that school. I don't know if she was so scared that she just tried to shut that part of her memory out (she always seemed slightly annoyed every time we bring it up), or if she truly cannot remember. It was definitely one of the scariest moments I've ever experienced."
"Great-grandma Visiting Toddler At Night?","Ohio","Children Who See Spirits","This isn't a very ""exiting"" story, but nonetheless has my wife and I a little freaked out at the moment, and I thought was worth sharing. 

Back in April of this year (2019), my wife's grandmother passed away on our daughter's 2nd birthday. Our daughter had met her great-grandmother only a handful of times. My wife's grandma had been suffering from dementia since before the birth of our daughter. Our daughter shares the same middle name as her. I will refer to my daughter as ""Maggie"" for the purposes of this story. 

Maggie just turned two and a half. Her speech and vocabulary has improved tremendously over the past month or so to where she is now able to tell us about things, such as what she did today with the babysitter, who she saw today, etc. 

Last night, my wife was showing Maggie pictures on her phone. She came across a photo of her grandmother taken not too long before her death. Maggie says ""Oh, there's Nanna!""... Ok, so my wife and her sisters called their grandma ""Nanna"" when they were little. Nobody has used that name for her for years. We never taught Maggie that name for her (we would simply say ""great-grandma"" when referring to her). 

So here's what gets creepy. My wife asks our daughter ""how do you know Nanna?"" and Maggie makes a face and says ""I'm scared."" (I didn't even know she knew what ""scared"" means by the way)... My wife asks ""why are you scared?"" and Maggie says ""Nanna's in my room"". So we asked her several times to clarify where she sees Nanna, and she would either say ""in my room"" or point upstairs. Then she tells us ""Nanna sings songs"". 

So we were all pretty freaked out. I'm not sure that a two and a half year old is developed enough where she can tell stories. We started showing her random pictures of other senior citizen women and she had no reaction to any of them; then we would slip in different pictures of my wife's grandma and Maggie would point and say ""Nanna."" I get that she's probably at a new stage in life where she is starting to get to be afraid of things, but... Still, super creepy.

If my wife's grandmother is truly visiting our daughter in her room, I hope she realizes that she is scaring her and will maybe tone it down some. My big concern is that it is someone else. We bought this home from an elderly couple who has both since passed. I'll keep an eye on things and hopefully this doesn't go anywhere further. Thanks for reading!"
"White Eye Entity","Louisiana","Haunted Places","It's crazy just think about the whole experience. In 2017, I was in the bathroom soaking up in a nice spiritual bath I found that is suppose to clean my aura. I got a pound of baking soda, sea salt, and sprinkle some basil into my water.

I live in my grandparents house and I would experience a lot of activities. But I caught something on my cell phone photo while I was soaking. I felt like something was in the bathroom with me. I would hear distinction voices talking in the house a lot along with shadows and knocking. While I was in the tub soaking... I was already feeling uneasy so I took a picture by my legs were I felt most uneasy. Something came out in my picture. It looks like a snake mouth with white eyes a nose and it's mouth to the left of my picture as of it was leaving me. I saved it.

 Things like jars and different objects would fly or break clean in half out my hands. At night I would hear knocking on the wall of my room by my papa's side of the bed every time I would sleep on his side. I opened the drawers and look to see where it was coming from. I had no explanation. I would see shadows moving along the walls and I start to think I was crazy and I grew very very depressed and weary of negative feelings that was not my own... Thought of suicide, death, evil things that didn't belong to me as if I was possessed. I moved out but it maybe followed me. 

 I recently lost my father as well and I was there when he took his last breath. When he did I saw purple light move from out of him floating on his head. I see them a lot they turned yellow, pink and white, blue but mostly I see purple lights and white sparkles a lot as if they were stars shining."
"Animal Guardians","Arizona","Pets / Animals","Shorty

I was on duty as a security officer for a financial call center when I noticed a cat that was killed and was laying in the front yard of the property. He appeared to have been hit by a car.

After laying him to rest (and a good half hour of bawling my eyes out), I was inside a vacant office suite talking to a friend of mine about what just happened when I thought I heard one of her cats meowing in the background. I asked her ""Ahh which kitty witty just said hi?"" My friend said that both of the cats were asleep in the window. I asked if she was sure of this, and she said they were both sleeping in the window. 

We were both perplexed by this and my friend said that it might have been the cat I just laid to rest a few minutes before. I was comforted, knowing that ""Shortstop or ""Shorty"" was ok and was saying thank you to me for taking the time to properly lay him to rest. I never spoke to anyone about the encounter in the vacant suite, but I know that Shorty still comes around me from time to time. 

Aztec

In September of 2016 I had just recently put my horse Aztec to sleep after losing a battle with a hindgut fissure. I was devastated. About a week or two later I had a dream that I was inside a slaughterhouse where I was going toe to toe with the plant manager. Just as the man I was arguing with started to take a swing at me, Aztec materialized (he was dead in the dream) in full form with red eyes and he was angry. He reared up on his back legs, bringing both his front hooves down on top of the plant manager's head, killing him. After the upheaval ended, I was able to hug Aztec around the neck like I always did before he vanished from sight. On the floor in front of me, there were two bloody hoof prints. 

I woke up in the morning, convinced that my horse watches over me. I have had sensations where I have smelled the scent of horses while in the middle of a security shift at 1:00 in the morning."
